player_name,player_id,league,season,team_id,role_group,minutes,age,xg_p90,non_penalty_xg_p90,goals_p90,shots_p90,shots_on_target_p90,big_chances_p90,xa_p90,assists_p90,key_passes_p90,chances_created_p90,touches_in_box_p90,penalty_area_entries_p90,progressive_passes_p90,dribbles_p90,crosses_completed_p90,tackles_won_p90,interceptions_p90,blocks_p90,clearances_p90,headers_won_p90,aerial_duels_won_p90,pressures_p90,successful_pressures_p90,possession_won_p90,possession_lost_p90,saves_p90,save_pct,xg_prevented_p90,corners,crossing,dribbling,finishing,first_touch,free_kick_taking,heading,long_shots,long_throws,marking,passing,penalty_taking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping_reach,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,handling,kicking,one_on_ones,reflexes,rushing_out,punching_tendency,throwing,market_value,asking_price,wage,contract_months,owned
Club A MC 1,ClubA-MC-1,Example League,2023/24,Club A,MC,2670,25,0.086,0.081,0.15,0.708,0.326,0.077,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.8,0.15,2.25,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26011150,28092042,45418,12,False
Club A MC 2,ClubA-MC-2,Example League,2023/24,Club A,MC,1013,28,0.086,0.081,0.15,0.708,0.326,0.077,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.8,0.15,2.25,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21900600,23652648,42325,18,False
Club A AML 1,ClubA-AML-1,Example League,2023/24,Club A,AML,2687,26,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.734,1.45,0.812,2.16,1.35,1.5,9.8,6.468,2.082,-0.03,0,0,0,20,20,20,20,20,20,19.2,20,20,19.2,20,20,19.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24921588,27538355,44702,18,False
Club A AML 2,ClubA-AML-2,Example League,2023/24,Club A,AML,1024,29,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.717,1.45,0.803,2.135,1.35,1.5,9.8,6.468,2.062,-0.03,0,0,0,20,20,20,20,20,20,18.7,20,20,18.7,20,20,19.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21114288,23331288,41635,24,False
Club A AMC 1,ClubA-AMC-1,Example League,2023/24,Club A,AMC,2704,27,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.727,1.45,0.809,2.15,1.35,1.5,9.8,6.468,2.074,-0.03,0,0,0,20,20,20,20,20,20,19,20,20,19,20,20,19.7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23846400,26946432,43987,24,False
Club A AMC 2,ClubA-AMC-2,Example League,2023/24,Club A,AMC,1035,30,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.706,1.444,0.798,2.125,1.35,1.5,9.8,6.468,2.05,-0.03,0,0,0,20,20,20,20,19.8,19.8,18.5,20,19.8,18.5,20,20,19.2,20,20,20,20,20,20,20,20,20,20,20,19.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.8,20,19.8,20,20,20342350,22986856,40945,30,False
Club A AMR 1,ClubA-AMR-1,Example League,2023/24,Club A,AMR,2721,28,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.717,1.45,0.803,2.135,1.35,1.5,9.8,6.468,2.062,-0.03,0,0,0,20,20,20,20,20,20,18.7,20,20,18.7,20,20,19.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23025588,26594554,43294,30,False
Club A AMR 2,ClubA-AMR-2,Example League,2023/24,Club A,AMR,1046,31,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.691,1.435,0.79,2.11,1.35,1.5,9.772,6.45,2.032,-0.03,0,0,0,20,20,20,20,19.5,19.5,18.2,20,19.5,18.2,20,19.9,18.9,20,20,20,20,20,20,19.9,20,20,20,20,19.5,20,20,19.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.5,20,19.5,20,20,19584788,22620430,40257,36,False
Club A ST 1,ClubA-ST-1,Example League,2023/24,Club A,ST,2738,29,0.54,0.508,0.604,3.128,1.439,0.486,0.162,0.138,0.986,0.986,7.32,4.5,0.6,1.4,0.1,1.68,1.423,0.785,2.105,1.35,1.5,9.8,6.468,2.02,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,18.1,20,20,18.8,20,20,20,20,20,20,20,20,20,20,20,19.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30126757,35549573,45761,36,False
Club A ST 2,ClubA-ST-2,Example League,2023/24,Club A,ST,1057,20,0.54,0.508,0.604,3.128,1.439,0.486,0.162,0.138,0.986,0.986,7.32,4.5,0.6,1.4,0.1,1.654,1.408,0.772,2.08,1.35,1.5,9.8,6.468,1.99,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,17.6,20,20,18.3,20,20,20,20,20,20,20,20,20,20,20,18.6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27825108,32833627,42819,12,False
Club B GK 1,ClubB-GK-1,Example League,2023/24,Club B,GK,2550,21,0,0,0.05,0,0,0,0.005,0.004,0.02,0.02,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.308,84,0.5,16.8,17.5,18.2,18.2,17.8,17.8,16.8,17.1,17.8,16.8,16.8,18.2,17.5,18.2,17.1,20,16.8,18.2,20,20,17.5,17.1,17.1,16.8,17.8,17.5,17.8,18.2,16.8,16.8,16.8,17.5,17.1,18.2,16.8,17.5,20,20,20,19.8,20,20,20,20,20,19.8,20,19269662,21292977,42231,18,False
Club B GK 2,ClubB-GK-2,Example League,2023/24,Club B,GK,930,24,0,0,0.046,0,0,0,0.005,0.004,0.02,0.02,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.363,84,0.5,16.3,17,17.7,17.7,17.3,17.3,16.3,16.6,17.3,16.3,16.3,17.7,17,17.7,16.6,20,16.3,17.7,20,20,17,16.6,16.6,16.3,17.3,17,17.3,17.7,16.3,16.3,16.3,17,16.6,17.7,16.3,17,20,20,20,19.3,20,20,20,20,20,19.3,20,15920044,17591649,39202,24,False
Club B DC 1,ClubB-DC-1,Example League,2023/24,Club B,DC,2567,22,0.035,0.033,0.083,0.3,0.134,0.032,0.05,0.043,0.15,0.15,0.25,0.2,3.7,0.05,0.03,2.25,2.05,1.52,3.4,2.45,2.5,8.46,5.584,2.1,0.092,0,0,0,19.9,20,16.5,16.5,20,20,20,20,20,20,20,19.5,20,19.5,20,20,20,19.5,20,20,20,17.2,20,19.9,20,20,20,19.5,19.9,19.9,19.9,20,20,20,19.9,20,19.9,20,20,19.9,20,19.9,20,20,20,19.9,20,22470400,25391552,41873,24,False
Club B DC 2,ClubB-DC-2,Example League,2023/24,Club B,DC,941,25,0.035,0.033,0.08,0.3,0.132,0.032,0.05,0.043,0.15,0.15,0.25,0.2,3.7,0.05,0.03,2.25,2.05,1.52,3.4,2.45,2.5,8.348,5.51,2.1,0.106,0,0,0,19.4,20,16.1,16.1,20,20,20,19.8,20,20,20,19.1,20,19.1,19.8,20,20,19.1,20,20,20,16.8,19.8,19.4,20,20,20,19.1,19.4,19.4,19.4,20,19.8,20,19.4,20,19.4,19.8,20,19.4,20,19.4,20,20,20,19.4,20,18448750,20847088,38787,30,False
Club B DL 1,ClubB-DL-1,Example League,2023/24,Club B,DL,2584,23,0.015,0.014,0.079,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24641088,28460457,43928,30,False
Club B DL 2,ClubB-DL-2,Example League,2023/24,Club B,DL,952,26,0.015,0.014,0.077,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,19.7,20,20,20,20,20,20,20,19.7,20,19.7,20,20,20,19.7,20,19.7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20429688,23596290,40827,36,False
Club B DR 1,ClubB-DR-1,Example League,2023/24,Club B,DR,2601,24,0.015,0.014,0.079,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23583150,27828117,43215,36,False
Club B DR 2,ClubB-DR-2,Example League,2023/24,Club B,DR,963,27,0.015,0.014,0.075,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.748,1.45,0.819,2.195,1.35,1.5,8.6,5.676,2.098,-0.03,0,0,0,19.9,20,20,19.5,20,20,19.9,20,20,19.9,20,19.5,20,19.5,20,20,19.9,19.5,20,19.5,20,20,20,19.9,20,20,20,20,20,19.9,19.9,20,20,20,20,20,19.9,20,20,19.9,20,19.9,20,20,20,19.9,20,19435000,22933300,40120,12,False
Club B DM 1,ClubB-DM-1,Example League,2023/24,Club B,DM,2618,25,0.085,0.08,0.148,0.706,0.325,0.077,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.794,0.15,2.25,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.023,0,0,0,20,20,19.8,19.8,20,20,20,20,20,20,20,19.8,20,20,20,20,20,19.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.8,20,20,20,20,20,20,20,20,20,20,20,20,20,22539588,24342755,42503,12,False
Club B DM 2,ClubB-DM-2,Example League,2023/24,Club B,DM,974,28,0.083,0.078,0.141,0.698,0.321,0.074,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.779,0.15,2.25,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.006,0,0,0,19.6,20,19.3,19.3,20,20,19.6,20,20,20,20,19.3,20,20,20,20,19.6,19.3,20,20,20,20,20,19.6,20,20,20,20,19.6,19.6,19.6,20,20,19.3,20,20,19.6,20,20,19.6,20,19.6,20,20,20,19.6,20,18694688,20190263,39433,18,False
Club B MC 1,ClubB-MC-1,Example League,2023/24,Club B,MC,2635,26,0.086,0.081,0.15,0.708,0.326,0.077,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.8,0.15,2.24,1.447,0.815,2.175,1.32,1.468,8.6,5.676,2.088,-0.03,0,0,0,20,19.5,20,20,20,19.9,20,20,19.9,20,20,20,19.5,20,20,20,20,20,19.5,20,19.5,20,20,20,19.9,20,20,20,20,20,20,19.5,20,20,20,19.5,20,20,19.5,20,19.5,20,19.9,19.5,19.9,20,19.5,21510400,23768992,41793,18,False
Club B MC 2,ClubB-MC-2,Example League,2023/24,Club B,MC,985,29,0.085,0.08,0.148,0.706,0.325,0.077,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.794,0.15,2.224,1.432,0.807,2.155,1.296,1.442,8.6,5.676,2.07,-0.023,0,0,0,20,19.1,19.8,19.8,20,19.4,20,20,19.4,20,20,19.8,19.1,20,20,20,20,19.8,19.1,20,19.1,20,20,20,19.4,20,20,20,20,20,20,19.1,20,19.8,20,19.1,20,20,19.1,20,19.1,20,19.4,19.1,19.4,20,19.1,17968750,19855469,38747,24,False
Club B AML 1,ClubB-AML-1,Example League,2023/24,Club B,AML,2652,27,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.724,1.45,0.807,2.145,1.35,1.5,9.8,6.468,2.07,-0.03,0,0,0,20,20,20,20,20,20,18.9,20,20,18.9,20,20,19.6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23681088,26759629,43848,24,False
Club B AML 2,ClubB-AML-2,Example League,2023/24,Club B,AML,996,30,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.701,1.441,0.796,2.12,1.35,1.5,9.8,6.468,2.044,-0.03,0,0,0,20,20,20,20,19.7,19.7,18.4,20,19.7,18.4,20,20,19.1,20,20,20,20,20,20,20,20,20,20,20,19.7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.7,20,19.7,20,20,20189688,22814347,40807,30,False
Club B AMC 1,ClubB-AMC-1,Example League,2023/24,Club B,AMC,2669,28,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.717,1.45,0.803,2.135,1.35,1.5,9.8,6.468,2.062,-0.03,0,0,0,20,20,20,20,20,20,18.7,20,20,18.7,20,20,19.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22863150,26406938,43155,30,False
Club B AMC 2,ClubB-AMC-2,Example League,2023/24,Club B,AMC,1007,31,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.691,1.435,0.79,2.11,1.35,1.5,9.772,6.45,2.032,-0.03,0,0,0,20,20,20,20,19.5,19.5,18.2,20,19.5,18.2,20,19.9,18.9,20,20,20,20,20,20,19.9,20,20,20,20,19.5,20,20,19.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.5,20,19.5,20,20,19435000,22447425,40120,36,False
Club B AMR 1,ClubB-AMR-1,Example League,2023/24,Club B,AMR,2686,29,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.706,1.444,0.798,2.125,1.35,1.5,9.8,6.468,2.05,-0.03,0,0,0,20,20,20,20,19.8,19.8,18.5,20,19.8,18.5,20,20,19.2,20,20,20,20,20,20,20,20,20,20,20,19.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.8,20,19.8,20,20,22059588,26030314,42463,36,False
Club B AMR 2,ClubB-AMR-2,Example League,2023/24,Club B,AMR,1018,20,0.374,0.352,0.438,2.122,0.976,0.337,0.326,0.277,1.843,1.843,5.118,4.07,4.2,2.1,1.5,1.68,1.429,0.785,2.1,1.35,1.5,9.688,6.394,2.02,-0.03,0,0,0,20,20,20,20,19.3,19.3,18,20,19.3,18,20,19.6,18.7,20,20,20,20,20,20,19.6,20,20,20,20,19.3,20,20,19.6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.3,20,19.3,20,20,20374688,24042132,39573,12,False
Club B ST 1,ClubB-ST-1,Example League,2023/24,Club B,ST,2703,30,0.54,0.508,0.604,3.128,1.439,0.486,0.161,0.137,0.984,0.984,7.32,4.5,0.6,1.375,0.1,1.617,1.387,0.754,2.045,1.35,1.5,9.66,6.376,1.948,-0.009,0,0,0,19.9,20,19.5,20,20,20,20,20,20,16.9,19.9,19.5,17.6,19.5,20,20,19.9,20,20,19.5,20,20,20,20,17.9,20,20,19.5,20,19.9,19.9,20,20,20,19.9,20,19.9,20,20,19.9,20,19.9,20,20,20,19.9,20,25099072,27106998,42092,12,False
Club B ST 2,ClubB-ST-2,Example League,2023/24,Club B,ST,1029,21,0.54,0.508,0.604,3.128,1.439,0.486,0.158,0.135,0.975,0.975,7.32,4.5,0.6,1.355,0.1,1.593,1.375,0.741,2.02,1.35,1.5,9.548,6.302,1.92,0.022,0,0,0,19.4,20,19.1,20,20,20,20,19.8,20,16.4,19.4,19.1,17.1,19.1,19.8,20,19.4,20,20,19.1,20,19.8,19.8,20,17.5,20,20,19.1,20,19.4,19.4,20,19.8,20,19.4,20,19.4,19.8,20,19.4,20,19.4,20,20,20,19.4,20,22902325,24734511,39159,18,False
Club C GK 1,ClubC-GK-1,Example League,2023/24,Club C,GK,2515,22,0,0,0.047,0,0,0,0.005,0.004,0.02,0.02,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.323,84,0.5,16.5,17.2,17.9,17.9,17.5,17.5,16.5,16.8,17.5,16.5,16.5,17.9,17.2,17.9,16.8,20,16.5,17.9,20,20,17.2,16.8,16.8,16.5,17.5,17.2,17.5,17.9,16.5,16.5,16.5,17.2,16.8,17.9,16.5,17.2,20,20,20,19.5,20,20,20,20,20,19.5,20,18297716,20676419,41400,24,False
Club C GK 2,ClubC-GK-2,Example League,2023/24,Club C,GK,902,25,0,0,0.043,0,0,0,0.005,0.004,0.02,0.02,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.378,84,0.5,16,16.7,17.4,17.4,17.1,17.1,16,16.4,17.1,16,16,17.4,16.7,17.4,16.4,20,16,17.4,20,20,16.7,16.4,16.4,16,17.1,16.7,17.1,17.4,16,16,16,16.7,16.4,17.4,16,16.7,20,20,20,19,20,20,20,20,20,19,20,15010336,16961680,38376,30,False
Club C DC 1,ClubC-DC-1,Example League,2023/24,Club C,DC,2532,23,0.035,0.033,0.081,0.3,0.133,0.032,0.05,0.043,0.15,0.15,0.25,0.2,3.7,0.05,0.03,2.25,2.05,1.52,3.4,2.45,2.5,8.404,5.547,2.1,0.099,0,0,0,19.6,20,16.3,16.3,20,20,20,20,20,20,20,19.3,20,19.3,20,20,20,19.3,20,20,20,17,20,19.6,20,20,20,19.3,19.6,19.6,19.6,20,20,20,19.6,20,19.6,20,20,19.6,20,19.6,20,20,20,19.6,20,21302350,24604214,41025,30,False
Club C DC 2,ClubC-DC-2,Example League,2023/24,Club C,DC,913,26,0.035,0.033,0.077,0.3,0.131,0.032,0.05,0.043,0.15,0.15,0.25,0.2,3.7,0.05,0.03,2.25,2.05,1.52,3.4,2.45,2.5,8.264,5.454,2.1,0.117,0,0,0,19.1,19.8,15.8,15.8,20,20,20,19.5,20,20,20,18.8,20,18.8,19.5,20,20,18.8,20,19.8,19.8,16.5,19.5,19.1,20,19.8,20,18.8,19.1,19.1,19.1,20,19.5,19.8,19.1,20,19.1,19.5,19.8,19.1,19.8,19.1,20,19.8,20,19.1,19.8,17356600,20046873,37946,36,False
Club C DL 1,ClubC-DL-1,Example League,2023/24,Club C,DL,2549,24,0.015,0.014,0.071,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.74,1.45,0.815,2.17,1.35,1.5,8.6,5.676,2.088,-0.03,0,0,0,19.4,20,20,19,20,20,19.4,19.7,20,19.4,20,19,20,19,19.7,20,19.4,19,20,19,20,19.7,19.7,19.4,20,20,20,20,20,19.4,19.4,20,19.7,20,20,20,19.4,19.7,20,19.4,20,19.4,20,20,20,19.4,20,20304787,23959649,40317,36,False
Club C DL 2,ClubC-DL-2,Example League,2023/24,Club C,DL,924,27,0.015,0.014,0.068,0.35,0.161,0.014,0.159,0.135,0.978,0.978,0.6,1.1,4.985,1.134,2.1,1.729,1.447,0.81,2.125,1.326,1.474,8.6,5.666,2.076,-0.013,0,0,0,18.9,20,19.6,18.6,20,20,18.9,19.3,20,18.9,19.9,18.6,20,18.6,19.3,19.9,18.9,18.6,19.6,18.6,19.6,19.3,19.3,18.9,20,19.6,20,20,20,18.9,18.9,19.6,19.3,20,20,19.6,18.9,19.3,19.6,18.9,19.6,18.9,20,19.6,20,18.9,19.6,16422287,19378299,37244,12,False
Club C DR 1,ClubC-DR-1,Example League,2023/24,Club C,DR,2566,25,0.015,0.014,0.077,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,19.7,20,20,20,20,20,20,20,19.7,20,19.7,20,20,20,19.7,20,19.7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22380600,24171048,42365,12,False
