player_name,player_id,league,season,team_id,role_group,minutes,age,xg_p90,goals_p90,xa_p90,assists_p90,key_passes_p90,shots_p90,shots_on_target_p90,progressive_passes_p90,dribbles_p90,tackles_won_p90,interceptions_p90,blocks_p90,headers_won_p90,pressures_p90,possession_won_p90,possession_lost_p90,saves_p90,xg_prevented_p90,finishing,off_the_ball,composure,technique,passing,vision,crossing,pace,acceleration,dribbling,anticipation,decisions,positioning,tackling,marking,concentration,strength,jumping_reach,reflexes,handling,market_value,asking_price,wage,contract_months,owned
ST Target 11,cur-0-10,Example League,2025/26,Club K,ST,2550,30,0.594,0.648,0.238,0.246,2.29,3.488,1.548,5.34,2.49,0.176,0.334,0.193,0.312,2.866,0.619,2.34,0,0,17,17,16,15,13,12,9,17,16,14,15,14,8,6,8,13,13,14,4,4,15890000,17320000,42400,24,False
ST Target 12,cur-0-11,Example League,2025/26,Club L,ST,2740,20,0.628,0.716,0.254,0.246,2.44,3.711,1.737,5.4,2.81,0.208,0.378,0.204,0.316,3.094,0.697,1.9,0,0,19,19,18,17,12,14,11,16,18,16,17,16,10,8,7,12,15,13,6,6,31030000,34750000,65700,30,False
AM_W Squad 1,cur-1-0,Example League,2025/26,Club A,AM_W,1700,22,0.42,0.404,0.207,0.207,2.3,2.547,0.948,5.48,2.39,0.256,0.419,0.258,0.307,3.277,0.783,2.78,0,0,11,13,12,13,13,13,11,14,14,14,11,12,6,5,6,11,7,8,1,1,11850000,12560000,36200,30,True
AM_W Squad 2,cur-1-1,Example League,2025/26,Club A,AM_W,1920,23,0.448,0.466,0.221,0.229,2.45,2.738,1.084,5.54,2.71,0.307,0.49,0.275,0.314,3.642,0.907,2.34,0,0,13,15,14,15,12,15,13,13,16,16,13,14,8,7,5,10,9,7,3,3,22780000,24830000,53000,36,True
AM_W Squad 3,cur-1-2,Example League,2025/26,Club A,AM_W,2140,24,0.441,0.457,0.231,0.223,2.45,2.682,1.03,5.84,2.55,0.358,0.493,0.326,0.378,3.459,0.983,2.56,0,0,12,14,13,14,14,14,15,15,15,15,12,13,10,9,7,12,11,9,5,5,15900000,17810000,42500,42,True
AM_W Target 4,cur-1-3,Example League,2025/26,Club C,AM_W,1220,25,0.441,0.437,0.221,0.221,2.45,2.682,1.03,5.84,2.55,0.282,0.454,0.283,0.339,3.459,0.855,2.56,0,0,12,14,13,14,14,14,12,15,15,15,12,13,7,6,7,12,8,9,2,2,17460000,17980000,44900,48,False
AM_W Target 5,cur-1-4,Example League,2025/26,Club D,AM_W,1410,26,0.426,0.432,0.207,0.215,2.3,2.603,0.999,5.18,2.55,0.282,0.454,0.25,0.282,3.459,0.835,2.56,0,0,12,14,13,14,11,14,12,12,15,15,12,13,7,6,4,9,8,6,2,2,13720000,14540000,39100,24,False
AM_W Target 6,cur-1-5,Example League,2025/26,Club E,AM_W,1600,27,0.42,0.424,0.217,0.209,2.3,2.547,0.948,5.48,2.39,0.333,0.458,0.301,0.346,3.277,0.911,2.78,0,0,11,13,12,13,13,13,14,14,14,14,11,12,9,8,6,11,10,8,4,4,12670000,13810000,37500,30,False
AM_W Target 7,cur-1-6,Example League,2025/26,Club F,AM_W,1790,28,0.462,0.47,0.235,0.235,2.6,2.817,1.116,6.2,2.71,0.307,0.49,0.309,0.371,3.642,0.927,2.34,0,0,13,15,14,15,15,15,13,16,16,16,13,14,8,7,8,13,9,10,3,3,24910000,27900000,56300,36,False
AM_W Target 8,cur-1-7,Example League,2025/26,Club G,AM_W,1980,29,0.49,0.532,0.248,0.256,2.75,3.008,1.263,6.26,3.03,0.358,0.56,0.326,0.378,4.006,1.051,1.9,0,0,15,17,16,17,14,17,15,15,18,18,15,16,10,9,7,12,11,9,5,5,16990000,17500000,44100,42,False
AM_W Target 9,cur-1-8,Example League,2025/26,Club H,AM_W,2170,30,0.441,0.457,0.231,0.223,2.45,2.682,1.03,5.84,2.55,0.358,0.493,0.326,0.378,3.459,0.983,2.56,0,0,12,14,13,14,14,14,15,15,15,15,12,13,10,9,7,12,11,9,5,5,21260000,22540000,50700,48,False
AM_W Target 10,cur-1-9,Example League,2025/26,Club I,AM_W,2360,20,0.462,0.47,0.235,0.235,2.6,2.817,1.116,6.2,2.71,0.307,0.49,0.309,0.371,3.642,0.927,2.34,0,0,13,15,14,15,15,15,13,16,16,16,13,14,8,7,8,13,9,10,3,3,16560000,18050000,43500,24,False
AM_W Target 11,cur-1-10,Example League,2025/26,Club J,AM_W,2550,21,0.49,0.532,0.248,0.256,2.75,3.008,1.263,6.26,3.03,0.358,0.56,0.326,0.378,4.006,1.051,1.9,0,0,15,17,16,17,14,17,15,15,18,18,15,16,10,9,7,12,11,9,5,5,15160000,16980000,41300,30,False
AM_W Target 12,cur-1-11,Example League,2025/26,Club K,AM_W,2740,22,0.484,0.524,0.259,0.251,2.75,2.953,1.205,6.56,2.87,0.41,0.563,0.378,0.442,3.824,1.127,2.12,0,0,14,16,15,16,16,16,17,17,17,17,14,15,12,11,9,14,13,11,7,7,28440000,29290000,61800,36,False
CM_DM Squad 1,cur-2-0,Example League,2025/26,Club A,CM_DM,1700,24,0.208,0.186,0.116,0.116,2.32,1.345,0.468,5.4,1.91,0.925,1.197,0.731,0.762,6.626,2.388,2.5,0,0,9,11,13,13,12,14,8,9,11,11,14,14,12,12,9,11,11,8,2,2,10150000,11060000,33600,36,True
CM_DM Squad 2,cur-2-1,Example League,2025/26,Club A,CM_DM,1920,25,0.204,0.18,0.122,0.13,2.32,1.304,0.438,5.7,1.75,1.034,1.204,0.84,0.898,6.239,2.551,2.72,0,0,8,10,12,12,14,13,10,11,10,10,13,13,14,14,11,13,13,10,4,4,19510000,21850000,48000,42,True
CM_DM Target 3,cur-2-2,Example League,2025/26,Club D,CM_DM,1030,26,0.217,0.215,0.125,0.117,2.47,1.392,0.484,6.06,1.91,0.925,1.197,0.802,0.884,6.626,2.431,2.5,0,0,9,11,13,13,15,14,8,12,11,11,14,14,12,12,12,14,11,11,2,2,11870000,12230000,36300,48,False
CM_DM Target 4,cur-2-3,Example League,2025/26,Club E,CM_DM,1220,27,0.221,0.211,0.124,0.124,2.47,1.432,0.516,5.76,2.07,0.979,1.272,0.785,0.83,7.014,2.541,2.28,0,0,10,12,14,14,13,15,9,10,12,12,15,15,13,13,10,12,12,9,3,3,14990000,15890000,41100,24,False
CM_DM Target 5,cur-2-4,Example League,2025/26,Club F,CM_DM,1410,28,0.204,0.18,0.122,0.13,2.32,1.304,0.438,5.7,1.75,1.034,1.204,0.84,0.898,6.239,2.551,2.72,0,0,8,10,12,12,14,13,10,11,10,10,13,13,14,14,11,13,13,10,4,4,11780000,12840000,36100,30,False
CM_DM Target 6,cur-2-5,Example League,2025/26,Club G,CM_DM,1600,29,0.217,0.215,0.125,0.117,2.47,1.392,0.484,6.06,1.91,0.925,1.197,0.802,0.884,6.626,2.431,2.5,0,0,9,11,13,13,15,14,8,12,11,11,14,14,12,12,12,14,11,11,2,2,10860000,12160000,34700,36,False
CM_DM Target 7,cur-2-6,Example League,2025/26,Club H,CM_DM,1790,30,0.233,0.235,0.132,0.132,2.62,1.52,0.565,6.12,2.23,1.034,1.346,0.84,0.898,7.402,2.694,2.06,0,0,11,13,15,15,14,16,10,11,13,13,16,16,14,14,11,13,13,10,4,4,20390000,21000000,49400,42,False
CM_DM Target 8,cur-2-7,Example League,2025/26,Club I,CM_DM,1980,20,0.229,0.229,0.139,0.147,2.62,1.479,0.532,6.42,2.07,1.142,1.353,0.949,1.034,7.014,2.857,2.28,0,0,10,12,14,14,16,15,12,13,12,12,15,15,16,16,13,15,15,12,6,6,14560000,15430000,40400,48,False
CM_DM Target 9,cur-2-8,Example League,2025/26,Club J,CM_DM,2170,21,0.229,0.239,0.133,0.125,2.62,1.479,0.532,6.42,2.07,0.979,1.272,0.857,0.952,7.014,2.584,2.28,0,0,10,12,14,14,16,15,9,13,12,12,15,15,13,13,13,15,12,12,3,3,18220000,19860000,46000,24,False
CM_DM Target 10,cur-2-9,Example League,2025/26,Club K,CM_DM,2360,22,0.233,0.235,0.132,0.132,2.62,1.52,0.565,6.12,2.23,1.034,1.346,0.84,0.898,7.402,2.694,2.06,0,0,11,13,15,15,14,16,10,11,13,13,16,16,14,14,11,13,13,10,4,4,14180000,15880000,39800,30,False
CM_DM Target 11,cur-2-10,Example League,2025/26,Club L,CM_DM,2550,23,0.229,0.229,0.139,0.147,2.62,1.479,0.532,6.42,2.07,1.142,1.353,0.949,1.034,7.014,2.857,2.28,0,0,10,12,14,14,16,15,12,13,12,12,15,15,16,16,13,15,15,12,6,6,12460000,12830000,37200,36,False
CM_DM Target 12,cur-2-11,Example League,2025/26,Club B,CM_DM,2740,24,0.254,0.288,0.149,0.141,2.92,1.654,0.635,7.14,2.39,1.088,1.421,0.966,1.088,7.789,2.89,1.84,0,0,12,14,16,16,18,17,11,15,14,14,17,17,15,15,15,17,14,14,5,5,24340000,25800000,55400,42,False
FB_WB Squad 1,cur-3-0,Example League,2025/26,Club A,FB_WB,1700,26,0.187,0.117,0.09,0.09,1.83,1.211,0.363,4.48,1.9,0.922,1.018,0.717,0.755,5.072,2.204,3.3,0,0,5,10,9,10,11,9,14,14,13,10,11,10,13,13,11,11,11,9,3,3,10260000,11490000,33800,42,True
FB_WB Squad 2,cur-3-1,Example League,2025/26,Club A,FB_WB,1920,27,0.208,0.172,0.099,0.107,2.13,1.363,0.442,5.2,2.22,0.87,1.082,0.733,0.806,5.802,2.234,2.86,0,0,7,12,11,12,13,11,13,16,15,12,13,12,12,12,13,13,10,11,2,2,19710000,20300000,48300,48,True
FB_WB Target 3,cur-3-2,Example League,2025/26,Club E,FB_WB,1030,28,0.211,0.197,0.098,0.09,2.13,1.4,0.471,4.9,2.38,0.922,1.152,0.717,0.755,6.166,2.338,2.64,0,0,8,13,12,13,11,12,14,14,16,13,14,13,13,13,11,11,11,9,3,3,12030000,12750000,36500,24,False
FB_WB Target 4,cur-3-3,Example League,2025/26,Club F,FB_WB,1220,29,0.208,0.162,0.104,0.104,2.13,1.363,0.442,5.2,2.22,1.024,1.158,0.819,0.883,5.802,2.492,2.86,0,0,7,12,11,12,13,11,16,16,15,12,13,12,15,15,13,13,13,11,5,5,15190000,16560000,41400,30,False
FB_WB Target 5,cur-3-4,Example League,2025/26,Club G,FB_WB,1410,30,0.208,0.172,0.099,0.107,2.13,1.363,0.442,5.2,2.22,0.87,1.082,0.733,0.806,5.802,2.234,2.86,0,0,7,12,11,12,13,11,13,16,15,12,13,12,12,12,13,13,10,11,2,2,11920000,13350000,36300,36,False
FB_WB Target 6,cur-3-5,Example League,2025/26,Club H,FB_WB,1600,20,0.211,0.197,0.098,0.09,2.13,1.4,0.471,4.9,2.38,0.922,1.152,0.717,0.755,6.166,2.338,2.64,0,0,8,13,12,13,11,12,14,14,16,13,14,13,13,13,11,11,11,9,3,3,10480000,10790000,34100,42,False
FB_WB Target 7,cur-3-6,Example League,2025/26,Club I,FB_WB,1790,21,0.208,0.162,0.104,0.104,2.13,1.363,0.442,5.2,2.22,1.024,1.158,0.819,0.883,5.802,2.492,2.86,0,0,7,12,11,12,13,11,16,16,15,12,13,12,15,15,13,13,13,11,5,5,20630000,21870000,49700,48,False
FB_WB Target 8,cur-3-7,Example League,2025/26,Club J,FB_WB,1980,22,0.229,0.217,0.112,0.12,2.43,1.516,0.527,5.92,2.54,0.973,1.222,0.835,0.934,6.531,2.522,2.42,0,0,9,14,13,14,15,13,15,18,17,14,15,14,14,14,15,15,12,13,4,4,14730000,16060000,40700,24,False
FB_WB Target 9,cur-3-8,Example League,2025/26,Club K,FB_WB,2170,23,0.222,0.22,0.105,0.097,2.28,1.477,0.514,5.26,2.54,0.973,1.222,0.768,0.819,6.531,2.482,2.42,0,0,9,14,13,14,12,13,15,15,17,14,15,14,14,14,12,12,12,10,4,4,18410000,20620000,46300,30,False
FB_WB Target 10,cur-3-9,Example League,2025/26,Club L,FB_WB,2360,24,0.208,0.162,0.104,0.104,2.13,1.363,0.442,5.2,2.22,1.024,1.158,0.819,0.883,5.802,2.492,2.86,0,0,7,12,11,12,13,11,16,16,15,12,13,12,15,15,13,13,13,11,5,5,13740000,14150000,39100,36,False
FB_WB Target 11,cur-3-10,Example League,2025/26,Club B,FB_WB,2550,25,0.229,0.217,0.112,0.12,2.43,1.516,0.527,5.92,2.54,0.973,1.222,0.835,0.934,6.531,2.522,2.42,0,0,9,14,13,14,15,13,15,18,17,14,15,14,14,14,15,15,12,13,4,4,12590000,13350000,37400,42,False
FB_WB Target 12,cur-3-11,Example League,2025/26,Club C,FB_WB,2740,26,0.242,0.264,0.119,0.111,2.58,1.629,0.606,5.98,2.86,1.075,1.363,0.87,0.947,7.261,2.77,1.98,0,0,11,16,15,16,14,15,17,17,19,16,17,16,16,16,14,14,14,12,6,6,24580000,26790000,55800,48,False
CB Squad 1,cur-4-0,Example League,2025/26,Club A,CB,1700,28,0.082,0.03,0.038,0.038,1.88,0.583,0.175,4.7,1.47,1.398,1.757,1.201,1.582,8.864,3.709,2.74,0,0,5,7,12,10,12,9,4,13,11,7,15,14,14,14,16,15,14,16,2,2,10370000,10680000,34000,48,True
CB Squad 2,cur-4-1,Example League,2025/26,Club A,CB,1920,29,0.084,0.054,0.038,0.046,1.88,0.611,0.191,4.4,1.63,1.472,1.858,1.178,1.509,9.388,3.858,2.52,0,0,6,8,13,11,10,10,5,11,12,8,16,15,15,15,14,13,15,14,3,3,19910000,21100000,48600,24,True
CB Target 3,cur-4-2,Example League,2025/26,Club F,CB,1030,30,0.077,0.033,0.037,0.029,1.73,0.535,0.154,4.34,1.31,1.546,1.766,1.251,1.601,8.339,3.872,2.96,0,0,4,6,11,9,11,8,6,12,10,6,14,13,16,16,15,14,16,15,4,4,12200000,13300000,36800,30,False
CB Target 4,cur-4-3,Example League,2025/26,Club G,CB,1220,20,0.087,0.047,0.042,0.042,2.03,0.631,0.197,5.06,1.63,1.472,1.858,1.274,1.674,9.388,3.916,2.52,0,0,6,8,13,11,13,10,5,14,12,8,16,15,15,15,17,16,15,17,3,3,15390000,17240000,41700,36,False
CB Target 5,cur-4-4,Example League,2025/26,Club H,CB,1410,21,0.078,0.036,0.035,0.043,1.73,0.563,0.169,4.04,1.47,1.398,1.757,1.104,1.417,8.864,3.651,2.74,0,0,5,7,12,10,9,9,4,10,11,7,15,14,14,14,13,12,14,13,2,2,11480000,11820000,35700,42,False
CB Target 6,cur-4-5,Example League,2025/26,Club I,CB,1600,22,0.077,0.033,0.037,0.029,1.73,0.535,0.154,4.34,1.31,1.546,1.766,1.251,1.601,8.339,3.872,2.96,0,0,4,6,11,9,11,8,6,12,10,6,14,13,16,16,15,14,16,15,4,4,10610000,11250000,34300,48,False
CB Target 7,cur-4-6,Example League,2025/26,Club J,CB,1790,23,0.087,0.047,0.042,0.042,2.03,0.631,0.197,5.06,1.63,1.472,1.858,1.274,1.674,9.388,3.916,2.52,0,0,6,8,13,11,13,10,5,14,12,8,16,15,15,15,17,16,15,17,3,3,20870000,22750000,50100,24,False
CB Target 8,cur-4-7,Example League,2025/26,Club K,CB,1980,24,0.094,0.088,0.045,0.053,2.18,0.708,0.238,5.12,1.95,1.619,2.061,1.325,1.693,10.437,4.272,2.08,0,0,8,10,15,13,12,12,7,13,14,10,18,17,17,17,16,15,17,16,5,5,14890000,16680000,40900,30,False
CB Target 9,cur-4-8,Example League,2025/26,Club L,CB,2170,25,0.077,0.033,0.037,0.029,1.73,0.535,0.154,4.34,1.31,1.546,1.766,1.251,1.601,8.339,3.872,2.96,0,0,4,6,11,9,11,8,6,12,10,6,14,13,16,16,15,14,16,15,4,4,17820000,18350000,45400,36,False
CB Target 10,cur-4-9,Example League,2025/26,Club B,CB,2360,26,0.087,0.047,0.042,0.042,2.03,0.631,0.197,5.06,1.63,1.472,1.858,1.274,1.674,9.388,3.916,2.52,0,0,6,8,13,11,13,10,5,14,12,8,16,15,15,15,17,16,15,17,3,3,13880000,14710000,39400,42,False
CB Target 11,cur-4-10,Example League,2025/26,Club C,CB,2550,27,0.094,0.088,0.045,0.053,2.18,0.708,0.238,5.12,1.95,1.619,2.061,1.325,1.693,10.437,4.272,2.08,0,0,8,10,15,13,12,12,7,13,14,10,18,17,17,17,16,15,17,16,5,5,12720000,13860000,37600,48,False
CB Target 12,cur-4-11,Example League,2025/26,Club D,CB,2740,28,0.092,0.084,0.047,0.039,2.18,0.679,0.22,5.42,1.79,1.766,2.07,1.472,1.877,9.912,4.493,2.3,0,0,7,9,14,12,14,11,9,15,13,9,17,16,19,19,18,17,19,18,7,7,24830000,27810000,56200,24,False
GK Squad 1,cur-5-0,Example League,2025/26,Club A,GK,1700,30,0,0,0,0,0.04,0,0,0.8,0,0.16,0.42,0.264,0.35,2.195,0.703,0.2,4.85,0.09,3,4,14,8,9,9,2,7,9,5,14,14,10,3,2,13,12,12,15,15,7860000,8330000,30100,24,True
GK Target 2,cur-5-1,Example League,2025/26,Club G,GK,840,20,0,0,0,0.008,0.04,0,0,0.8,0,0.16,0.368,0.264,0.35,1.767,0.65,0.2,4.85,0.036,1,1,11,5,9,6,2,7,6,2,11,11,10,3,2,13,12,12,15,15,12870000,14030000,37800,30,False
GK Target 3,cur-5-2,Example League,2025/26,Club H,GK,1030,21,0,0.01,0,0,0.04,0,0,0.8,0,0.14,0.393,0.27,0.37,2.053,0.662,0.2,4.66,0.036,2,3,13,7,11,8,1,9,8,4,13,13,9,2,4,15,11,14,14,14,9270000,10380000,32300,36,False
GK Target 4,cur-5-3,Example League,2025/26,Club I,GK,1220,22,0,0,0,0,0.04,0,0,0.8,0,0.16,0.42,0.264,0.35,2.195,0.703,0.2,4.85,0.09,3,4,14,8,9,9,2,7,9,5,14,14,10,3,2,13,12,12,15,15,11100000,11430000,35100,42,False
GK Target 5,cur-5-4,Example League,2025/26,Club J,GK,1410,23,0,0,0,0.008,0.04,0,0,0.8,0,0.16,0.368,0.264,0.35,1.767,0.65,0.2,4.85,0.036,1,1,11,5,9,6,2,7,6,2,11,11,10,3,2,13,12,12,15,15,8720000,9240000,31400,48,False
GK Target 6,cur-5-5,Example League,2025/26,Club K,GK,1600,24,0,0.01,0,0,0.04,0,0,0.8,0,0.14,0.393,0.27,0.37,2.053,0.662,0.2,4.66,0.036,2,3,13,7,11,8,1,9,8,4,13,13,9,2,4,15,11,14,14,14,8050000,8770000,30400,24,False
GK Target 7,cur-5-6,Example League,2025/26,Club L,GK,1790,25,0,0,0,0,0.04,0,0,0.8,0,0.18,0.448,0.284,0.375,2.338,0.759,0.2,5.04,0.144,4,5,15,9,10,10,3,8,10,6,15,15,11,4,3,14,13,13,16,16,15840000,17740000,42400,30,False
GK Target 8,cur-5-7,Example League,2025/26,Club B,GK,1980,26,0,0,0,0.008,0.04,0,0,0.8,0,0.22,0.45,0.324,0.425,2.195,0.819,0.2,5.42,0.198,3,4,14,8,12,9,5,10,9,5,14,14,13,6,5,16,15,15,18,18,10800000,11120000,34600,36,False
GK Target 9,cur-5-8,Example League,2025/26,Club C,GK,2170,27,0,0.01,0,0,0.04,0,0,0.8,0,0.16,0.42,0.29,0.395,2.195,0.718,0.2,4.85,0.09,3,4,14,8,12,9,2,10,9,5,14,14,10,3,5,16,12,15,15,15,13510000,14320000,38800,42,False
GK Target 10,cur-5-9,Example League,2025/26,Club D,GK,2360,28,0,0,0,0,0.04,0,0,0.8,0,0.18,0.448,0.284,0.375,2.338,0.759,0.2,5.04,0.144,4,5,15,9,10,10,3,8,10,6,15,15,11,4,3,14,13,13,16,16,10520000,11470000,34200,48,False
GK Target 11,cur-5-10,Example League,2025/26,Club E,GK,2550,29,0,0,0,0.008,0.04,0,0,0.8,0,0.22,0.45,0.324,0.425,2.195,0.819,0.2,5.42,0.198,3,4,14,8,12,9,5,10,9,5,14,14,13,6,5,16,15,15,18,18,9630000,10790000,32800,24,False
GK Target 12,cur-5-11,Example League,2025/26,Club F,GK,2740,30,0,0.01,0,0,0.04,0,0,0.8,0,0.2,0.475,0.33,0.445,2.48,0.831,0.2,5.23,0.198,5,6,16,10,14,11,4,12,11,7,16,16,12,5,7,18,14,17,17,17,18070000,18610000,45800,30,False
